,Название,Зарплата_мин,Зарплата_макс,Валюта,Ссылка
0,Python developer,500 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/python-developer-43577267.html
1,Разработчик Python,180 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-python-41696139.html
2,Full-stack developer Python,250 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/full-stack-developer-python-43537974.html
3,Full Stack Python/JS разработчик,120 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/full-stack-python-43792434.html
4,Python developer,160 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/python-developer-43570521.html
5,Разработчик Python,250 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-python-43526831.html
6,Программист Python,,,,https://russia.superjob.ru/vacancy/search//vakansii/programmist-python-43686222.html
7,Senior Python Backend Developer / Web-разработчик,230 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/senior-python-backend-developer-40866744.html
8,Педагог на направление Python,20 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/pedagog-na-napravlenie-python-43502923.html
9,Разработчик Python,0,200 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-python-43771013.html
10,Senior Python Developer,,,,https://russia.superjob.ru/vacancy/search//vakansii/senior-python-developer-43768262.html
11,Разработчик Python,,,,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-python-43582308.html
12,C++ Developer (with Python),140 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/c-43578234.html
13,"DevOps (Middle +, Senior)",180 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/devops-43607101.html
14,Специалист службы поддержки с техническими знаниями (TOOLS),15 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-39820062.html
15,Дата-аналитик,,,,https://russia.superjob.ru/vacancy/search//vakansii/data-analitik-43713305.html
16,Программист MS Dynamics AX (Axapta),0,150 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/programmist-ms-dynamics-ax-40488589.html
17,Разработчик / Специалист по автоматизации,,,,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-43619468.html
18,Devops-инженер проекта Цифровой сбыт,,,,https://russia.superjob.ru/vacancy/search//vakansii/devops-inzhener-proekta-cifrovoj-sbyt-43573194.html
19,Инженер-программист станков с ПУ 1 категории,70 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-programmist-stankov-s-pu-1-kategorii-42317748.html
20,Solidity Developer,,,,https://russia.superjob.ru/vacancy/search//vakansii/solidity-developer-43577247.html
21,Специалист службы поддержки (с техническими знаниями),15 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/specialist-sluzhby-podderzhki-37985821.html
22,Offensive Security Specialist,120 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/offensive-security-specialist-43545349.html
23,Младший трейдер,,,,https://russia.superjob.ru/vacancy/search//vakansii/mladshij-trejder-43542442.html
24,Инженер по работе с данными / DATA ENGINEER,,,,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-po-rabote-s-dannymi-43452463.html
25,Специалист по безопасности критической информационной инфраструктуры,,,,https://russia.superjob.ru/vacancy/search//vakansii/specialist-po-bezopasnosti-kriticheskoj-informacionnoj-infrastruktury-43616424.html
26,Specialist DevOps,280 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/specialist-devops-40719996.html
27,Senior Go Developer,0,355 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/senior-go-developer-43436485.html
28,Программист 1С,0,250 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/programmist-1s-39215921.html
29,Senior NodeJS Developer,,,,https://russia.superjob.ru/vacancy/search//vakansii/senior-nodejs-developer-43645800.html
30,DevOps,290 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/devops-43567018.html
31,Инженер,,,,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-43001418.html
32,DevOps Engineer,,,,https://russia.superjob.ru/vacancy/search//vakansii/devops-engineer-34424249.html
33,Разработчик прикладных решений (Linux),0,200 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/razrabotchik-prikladnyh-reshenij-43434356.html
34,Учитель информатики,65 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/uchitel-informatiki-37923007.html
35,Учитель информатики,110 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/uchitel-informatiki-31060829.html
36,Data scientist / Исследователь-программист данных,0,172 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/data-scientist-43643622.html
